ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a1,indicator red fast movement 1.6a 250v holder plastic 5 x 20mm ceramic box cccpsevdeculus electric indicator very fast blow 1.6a 250vac 1500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,1.6a,ceramic,5 x 20mm,,0.755j,low,250v,,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,3ms,5.2mm,20mm,1500a,1.6a,250v,250v,,"['A253', 'A254', 'A97', 'A478', 'A252']"
a2,non resettable indicators electric indicator very fast blow 6.3a 250vac 1500a ir inlineholder 5x20mm,,,primary protection in equipment,very fast,,20mm,5.2mm,,ceramic,5 x 20mm,e2,36.7j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,3ms,5.2mm,20mm,1500a,6.3a,250v,250v,,"['A4', 'A16', 'A10', 'A15', 'A99']"
a3,indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic box kcpsevdeculus electric indicator very fast blow 8a 250vac 1500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,8a,ceramic,5 x 20mm,e2,81.9j,low,250v,,4w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,8a,250v,250v,,"['A81', 'A19', 'A247', 'A278', 'A246']"
a4,non resettable indicators electric indicator very fast blow 10a 250vac 1500a ir inlineholder 5x20mm,,,primary protection in equipment,very fast,,20mm,5.2mm,,ceramic,5 x 20mm,e2,141j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,10a,250v,250v,,"['A2', 'A16', 'A10', 'A15', 'A99']"
a5,indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic box pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,,203j,low,250v,,6.9typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,500a,12.5a,250v,250v,,"['A6', 'A57', 'A267', 'A56', 'A255']"
a6,indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk pseculus electric indicator very fast blow 12.5a 250vac 500a ir inlineholder 5x20mm,fast,,primary protection in equipment,very fast,,20mm,5.2mm,12.5a,ceramic,5 x 20mm,,203j,low,250v,,6.9typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,500a,12.5a,250v,250v,,"['A5', 'A267', 'A57', 'A56', 'A255']"
a7,indicator red fast movement 20a 250v holder plastic 6.3 x 32mm glass box electric indicator very fast blow 20a 250vac 1000a ir h inlineholder,fast,,industrial electronic,very fast,,31.8mm,6.35mm,20a,glass,6.3 x 32mm,,846j,low,250v,,11.5typw,holder,inlineholder,2.0,85cel,-40cel,6.35mm  x  31.8mm,20ms,6.35mm,31.8mm,1000a,20a,250v,250v,,"['A115', 'A438', 'A460', 'A493', 'A484']"
a8,indicator slow blow movement 1.25a 5 x 20mm ceramic electric indicator 5 x 20mm,slow blow,,power supply adapterprimary protection on pcbswitching mode power supply,,,,,1.25a,ceramic,5 x 20mm,,,,,,5.4w,,,,,,,,,,,,,,,"['A121', 'A323', 'A336', 'A340', 'A21']"
a9,indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic box ccccsapsevdeculus electric indicator time lag blow 1a 250vac 300vdc 1500a ir inlineholder 5x20mm,slow blow,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection in equipmentswitching mode power supply,time lag,,20mm,5.2mm,1a,ceramic,5x20mm,,1.1j,low,250v,300v,2.5w,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,1a,250v,250v,300v,"['A26', 'A24', 'A242', 'A266', 'A293']"
a10,non resettable indicators electric indicator time lag blow 2a 250vac 300vdc 1500a ir inlineholder 5x20mm,,rated breaking capacity at 300 vdc: 1500 a,power supply adapterprimary protection on pcbswitching mode power supply,time lag,,20mm,5.2mm,,ceramic,5x20mm,,9.2j,low,,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500a,2a,250v,250v,300v,"['A16', 'A15', 'A2', 'A4', 'A99']"
